Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
Family Search 	Computer Science (UG21-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Paid	Yes	Yes	working 40 	27	38	Married international stu working 40 hrs/wk paid in UT supporting 2 households with travel expenses	40	 in UT supporting 2 households	49	79
Music For All	Marketing (UG22-AAS)	2nd year undergraduate/sophomore	500	FA21	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 40 	27	38	Married international stu working 40 hrs/wk paid in Rexburg 	40	#VALUE!	49	#VALUE!
Center Point Counseling	Marriage and Fam Studies (UG19-BS)	4th year undergraduate/senior	184	FA21	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
Temple View Transitional Care Center	Professional Studies (UG19-BIS) (comp A)	4th year undergraduate/senior	375	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Rexburg with no need 	40	 in Rexburg	33	44
Haskell Construction	Construction Management (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in SLC with travel expenses	40	 in SLC	44	51
Sceneview Acadamy	Social Work (UG17-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in UT with travel expense	20	 in UT	32	38
Icertis	Software Engineering (UG21-BS)	3rd year undergraduate/junior	500	FA21	Need												Outside	Paid	Yes	Yes	working 40 	27	38	Married international stu working 40 hrs/wk paid in WA but working remote	40	#VALUE!	49	#VALUE!
London Block By Block	Communication-News/Journalism (UG20-BS)	4th year undergraduate/senior	2,000.00	FA21	Need												Outside	Unpaid			working 22 	8	19	Single working 22 hrs/wk unpaid in London England 	22	#VALUE!	32	#VALUE!
Lynxit LLC	Business Management (UG19-BS)	4th year undergraduate/senior	750	FA21	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in Rexburg	40	#VALUE!	46	#VALUE!
Madison Middle School	Public Health-Health Science (UG17-BS)	4th year undergraduate/senior	875	FA21	No Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 25 	37	48	Married with children international working 25 hrs/wk unpaid in Rexburg supporting 2 households and travel expense with no need	25	#VALUE!	61	8
The Heritage foundation	Computer Info Technology (UG17-BS)	4th year undergraduate/senior	625	FA21	Need												Outside	Paid			working 70 	8	19	Single working 70 hrs/wk in Washinginn DC paid with travel 	70	 in Washinginn DC paid	25	47
BYU-Pathway Worldwide 	English (UG17-BA)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in SLC with no need with travel expense	40	 in SLC	30	37
Alkami Technology	Data Science (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Paid	Yes	Yes	working 25 	37	48	Married iwth children international working 25 hrs/wk paid in TX with travel expense	25	 in TX	59	65
National Ability Center	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	33	39
Boise State University	Biology-Neuroscience (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Boise ID	40	#VALUE!	44	#VALUE!
Allucent	Software Engineering (UG20-BS)	4th year undergraduate/senior	184	FA21	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg	20	#VALUE!	30	#VALUE!
Argueta's Constructores S.A. de C.V	Construction Management (UG21-BS)	2nd year undergraduate/sophomore	2,250.00	FA21	Need												Outside	Paid	Yes		working 72 	22	33	Single international working 72 hrs/wk paid in Puebla Mexico 	72	#VALUE!	44	#VALUE!
Lamar Country Historical Society 	Humanities (UG17-BA)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Unpaid		Yes	working 20	20	30	Married with child working 20hrs/wk unpaid in TX with some travel expenses	20	#VALUE!	43	8
Assertive Community Treatment 	Social Work (UG21-BS)	4th year undergraduate/senior	250	FA21	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Idaho Falls with no need and some travel expenses	25	 in Idaho Falls	32	47
Tueller Counseling Services	Social Work (UG17-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Eastern Idaho with travel expense	20	 in Eastern Idaho	32	49
Angel Studios	Computer Info Technology (UG17-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in Provo Ut 	40	#VALUE!	46	#VALUE!
Reynolds Systems Inc 	Mechanical Engineering (UG15-BS)	4th year undergraduate/senior	2,250.00	FA21	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with travel expense	40	 in CA	31	37
Problems Anonymous Action Group INC	Social Work (UG17-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in UT and living with parents with no need, but travel expense	20	 in UT and living	33	50
Hewllet Packward Enterprise	Software Engineering (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Rexburg with no need	20	 in Rexburg	45	56
Unto the least of these Inc	Marriage and Fam Studies (UG19-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Unpaid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk unpaid in Georgia 	20	#VALUE!	47	#VALUE!
Copper Hills Youth Center 	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,500.00	FA21	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT with travel expenses	40	 in UT	33	39
Farnsworth Middle School	Social Work (UG20-BS)	4th year undergraduate/senior	375	FA21	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel expense, but no need	20	 in Rigby	33	42
Uinta Academy	Social Work (UG19-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid			working 25 	8	19	Single working 25 hrs/wk paid in UT with travel expense	25	 in UT	30	36
Salt Lake County Adaptive Recreation	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,000.00	FA21	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in SLC with travel expense	40	 in SLC	32	39
Western Governors University	Business Management (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Paid		Yes	working 40 	20	31	Married US citizen working 40 hrs/wk a week paid in SLC. They have travel expense. Student has need.	40	#VALUE!	49	#VALUE!
The Heritage Community	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	750	FA21	Need												Outside	Unpaid			working 35-45 	19	33	Single US citizen working 35-45 hrs/wk a week unpaid in Provo. Student has need.	45	#VALUE!	53	#VALUE!
El Monte Chamber of Commerce	Business Management (UG19-BS)	4th year undergraduate/senior	1,750.00	FA21	Need				IF								Eastern Idaho	Unpaid		Yes	working 20-30 	20	34	Married US citizen working 20-30 hrs/wk a week unpaid in California. Supporting two homes. Has need.	30	#VALUE!	54	#VALUE!
Madison Memorial Hospital	Public Health-Health Ed and Promotion (UG17-BS)	4th year undergraduate/senior	250	FA21	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married US citizen working 20 hrs/wk a week unpaid in Rexburg. No Need.	20	#VALUE!	51	#VALUE!
Layton Construction	Construction Management (UG20-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid			working 40 	19	30	Single US citizen working 40 hrs/wk a week paid in SLC. Student does have travel expense. Student does have need. 	40	#VALUE!	48	#VALUE!
busy busy	Data Science (UG19-BS)	4th year undergraduate/senior	500	FA21	Need												Outside	Paid			working 40 	19	30	Single US citizen working 40 hrs/wk a week paid in UT. Student has travel expense. Student has need.	40	#VALUE!	48	#VALUE!
Milosi Landscape	Horticulture (UG19-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Paid		Yes	working 40 	20	31	Married US citizen working 40 hrs/wk a week paid in TN. No need. Student has Travel expense	40	#VALUE!	49	#VALUE!
Americorp Vista	Social Work (UG20-BS)	4th year undergraduate/senior	184	FA21	No Need				IF								Eastern Idaho	Paid		Yes	working 35 	35	46	Married with one child US citizen working 35 hrs/wk a week paid in IF. Student has travel expense. Student has no need.	35	#VALUE!	64	8
Premier Technology	Mechanical Engineering (UG16-BS)	4th year undergraduate/senior	375	FA21	No Need								Blackfoot				Eastern Idaho	Paid		Yes	working 40 	35	46	Married with one child US citizen working 40 hrs/wk a week paid in BlackFoot. Student has travel expense. Student has no need.	40	#VALUE!	64	8
The Heritage Community	Therapeutic Recreation (UG19-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT with travel expenses	40	 in UT	33	39
Idaho Department of Health and Welfare	Social Work (UG21-BS)	4th year undergraduate/senior	750	FA21	Need			Idaho Falls									Eastern Idaho	Unpaid	Yes		working 23 	22	33	Single international working 23 hrs/wk unpaid in Idaho Falls with travel expenses	23	 in Idaho Falls	46	61
Younker Hyde an Macfarlane	Public Policy & Admin-Public Administration (UG19-BA)	4th year undergraduate/senior	375	FA21	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need, but travel expenses	40	 in UT	44	50
Twin Rayj Studio	Software Engineering (UG19-BS)	4th year undergraduate/senior	500	FA21	No Need												Outside	Unpaid		Yes	working 30 	20	31	Married with child working 30 hrs/wk unpaid in IL with no need but travel expense	30	#VALUE!	44	8
Bannock County Juvenile Justice Department	Social Work (UG19-BS)	4th year undergraduate/senior	184	FA21	No Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid living with family with no need	20	#VALUE!	#VALUE!	39
Magnetic Creative	Bus Mgmt Marketing (UG19-BS)	4th year undergraduate/senior	250	FA21	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in CA working remote	20	#VALUE!	32	#VALUE!
Hurricance Junior Golf Tour	Exercise Physiology (UG17-BS)	4th year undergraduate/senior	1,250.00	FA21	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in FL 	40	#VALUE!	46	#VALUE!
Lance Funk Farms	Biomedical Science (UG21-BS)	2nd year undergraduate/sophomore	250	FA21	No Need												Outside	Paid	Yes		working 80 	22	33	Single international working 80 hrs/wk paid in American Falls with travel, but no need	80	 in American Falls	44	62
BYU-Idaho (BSC) 	Sociology (UG19-BS)	4th year undergraduate/senior	250	FA21	No Need												Outside	Paid		Yes	working 35 	20	31	Married with child working 35 hrs/wk paid at BYUI with no need.	35	#VALUE!	#VALUE!	8
			500	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in MI with no need but have travel expense	40	 in MI	31	37
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20-30 	29	43	Stu is a Married US citizen working 20-30 hrs/wk a week unpaid in Rexburg. No need. 	30	#VALUE!	63	#VALUE!
			1,500.00	WI22	Need												Outside	Paid		Yes	#VALUE!	9	#VALUE!	Married working 40 paid in Hawaii with travel expense	#VALUE!	 in Hawaii	24	34
			375	WI22	No Need												Outside	Paid		Yes	working 50 	9	20	Married working 50 hrs/wk paid in Parma Idaho with no need, but have travel expense	50	 in Parma Idaho	31	46
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	21	32	Married  with child working 20 hrs/wk unpaid in Rexburg with no need	20	#VALUE!	45	9
			1,000.00	WI22	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	32	38
			750	WI22	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel expenses	20	 in Rigby	33	42
			1,250.00	WI22	Need												Outside	Paid		Yes	working 24 	23	34	Married with children working 24 hrs/wk paid in AZ with travel expense	24	#VALUE!	45	8
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with no need, but has travel expense	20	 in Idaho Falls	32	47
			250	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Meridian ID with no need but travel expense	40	 in Meridian ID	31	46
			250	WI22	No Need												Outside	Paid			working 20 	8	19	Single working 20 hrs/wk paid in UT with no need, but travel expense	20	 in UT	30	36
			500	WI22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expenses	20	 in Idaho Falls	32	47
			1,000.00	WI22	No Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Washinginn DC and supporting 2 households with no need, but travel expenses	40	 in Washinginn DC and supporting 2 households	33	78
			500	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 40 	32	43	Stu is married with 2 children working 40 hrs/wk a week paid in Rexburg. The stu is international. The stu has financial need.	40	#VALUE!	61	15
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	28	39	Stu is a single US citizen working 20 hrs/wk a week unpaid in Idaho Falls. No need. They do have a travel expense.	20	#VALUE!	59	#VALUE!
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid			working 40 	28	39	Stu is a single US citizen working 40 hrs/wk a week paid in Rexburg. No need. They do have some travel expense for work.	40	#VALUE!	57	#VALUE!
			500	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Stu is international working 40 hrs/wk a week paid in Texas. No need. They do have a travel expense.	40	#VALUE!	51	#VALUE!
			250	WI22	No Need												Outside	Paid			working 40 	40	51	Stu is single and a US citizen. She is working 40 hrs/wk a week paid in UT. No need. They do have  a travel expense.	40	#VALUE!	69	#VALUE!
			375	WI22	No Need												Outside	Paid	Yes		working 40 	39	50	Stu is a single international student working 40 hrs/wk a week paid in Boise. No need. They do have a travel expense.	40	#VALUE!	68	#VALUE!
			875	WI22	No Need												Outside	Paid		Yes	#VALUE!	#VALUE!	56	Stu is married with 2 children. US citizen. Working 40 hrs/wk a week paid in NM. Supporting 2 households. Has no need. Has a travel expense.	#VALUE!	#VALUE!	74	15
			500	WI22	No Need												Outside	Paid		Yes	working in UT 40 	48	65	Stu is married with 1 child US citizen. Stu is working in UT 40 hrs/wk paid. No need. They do have a travel expense	40	#VALUE!	55	15
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 45 	16	27	Stu is married working 45 hrs/wk a week unpaid in Rexburg. No need. 	45	#VALUE!	47	#VALUE!
			625	WI22	No Need												Outside	Paid	Yes	Yes	working 40 	44	55	Stu is married and international. They are working 40 hrs/wk a week paid in GA. No need but they do have a travel expense.	40	#VALUE!	73	#VALUE!
			250	WI22	No Need												Outside	Paid			working 40 	26	37	Stu is Single US citizen working 40 hrs/wk a week paid in SLC. Stu has no need. They do have a travel expense.	40	#VALUE!	55	#VALUE!
			500	WI22	Need				IF								Eastern Idaho	Unpaid			working 22 	28	39	Stu is a Single US citizen working 22 hrs/wk a week unpaid in IF. They do have need. They do have a travel expense.	22	#VALUE!	59	#VALUE!
			1,750.00	WI22	Need												Outside	Unpaid	Yes		working 20 	39	50	Stu is a Single international student working 20 hrs/wk a week unpaid in SLC. They do have financial need. They do have a travel expense.	20	#VALUE!	70	#VALUE!
			375	WI22	No Need												Outside	Paid		Yes	working 20-30 	29	43	Stu is a Married US citizen working 20-30 hrs/wk a week paid in East Idaho. No need. They do have a travel expense and purchases for the internship.	30	#VALUE!	61	#VALUE!
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	39	50	Stu is a single international student working 20 hrs/wk a week unpaid in Rexburg. They do have financial need.	20	#VALUE!	70	#VALUE!
			1,000.00	WI22	Need												Outside	Unpaid			working 40 	28	39	Stu is a single US citizen working 40 hrs/wk a week unpaid in UT. The stu has financial need. The stu does have a travel expense.	40	#VALUE!	59	#VALUE!
			1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	31	42	Stu is Married international, working 40 hrs/wk a week paid in UT. They do have financial need. They do have a travel expense.	40	#VALUE!	60	#VALUE!
			1,000.00	WI22	Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 20 	40	51	Stu is a married international student working 20 hrs/wk a week unpaid in Rexburg. They do have financial need. They expensive internship requirements.	20	#VALUE!	71	#VALUE!
			375	WI22	No Need				IF								Eastern Idaho	Unpaid		Yes	working 20 	29	40	Stu is a married US citizen working 20 hrs/wk a week unpaid in IF. No need. They do have a travel expense.	20	#VALUE!	60	#VALUE!
			750	WI22	Need												Outside	Unpaid	Yes		working 40 	40	51	Stu is an international single student working 40 hrs/wk a week unpaid in New York. They are living with family. They do have need. They have large travel expense. 	40	 in New York. They are living	71	100
			625	WI22	No Need												Outside	Paid	Yes	Yes	working 40 	38	49	Stu is married international student working 40 hrs/wk a week paid in Texas. No need. they do have a transportation expense. 	40	#VALUE!	67	#VALUE!
			250	WI22	No Need						St Anthony						Eastern Idaho	Unpaid			working 20 	26	37	Stu is single US citizen working 20 hrs/wk a week unpaid in St Anthony. No need. They do have a travel expense.	20	#VALUE!	57	#VALUE!
			184	WI22	No Need												Outside	Paid		Yes	working 40 	29	40	Stu is a married US citizen working 40 hrs/wk a week paid. They are doing the internship remote. No need. 	40	#VALUE!	#VALUE!	#VALUE!
			1,000.00	WI22	Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in RI with travel expense	20	 in RI	32	38
			1,250.00	WI22	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	33	39
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
			375	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with no need, but travel expense	20	 in Idaho Falls	32	47
			375	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT, with no need, but travel expense	40	 in UT,	44	51
			1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expense	40	 in UT	45	51
			875	WI22	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in MI with non need, but travel expense	40	 in MI	33	39
			750	WI22	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rgby with a travel expense	40	 in Rgby	32	40
			375	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	23	34	Married with children working 40 hrs/wk paid in Rexburg remotely with no need, but travel expense	40	#VALUE!	45	8
			375	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need but travel expense	40	 in UT	44	50
Family Search	International Studies (UG19-BA)	4th year undergraduate/senior	1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UTwith travel expense	40	#VALUE!	45	#VALUE!
			1,125.00	WI22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with no needwith hgh rent area and travel expense	40	 in CA	31	37
			750	WI22	Need												Outside	Paid	Yes		working 35 	22	33	Single international working 35 hrs/wk paid in UT with travel expense	35	 in UT	44	50
			500	WI22	No Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	36	47	Married with chidren international working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	#VALUE!	58	8
			500	WI22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in MN with no need, but travel expense	40	 in MN	44	50
			1,750.00	WI22	Need												Outside	Unpaid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk unpaid in AZ with travel expenses	40	 in AZ	47	53
			375	WI22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with no need, travel expense	20	 in Idaho Falls	33	48
			184	WI22	No Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	32	43
			1,500.00	WI22	Need												Outside	Paid	Yes	Yes	working 40 	34	45	Married with child international working 40 hrs/wk paid in MN with travel expense	40	#VALUE!	56	8
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rexburg 	40	#VALUE!	32	#VALUE!
			500	WI22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	32	47
			1,500.00	WI22	Need												Outside	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	33	39
Counseling School District	Social Work (UG21-BS)	4th year undergraduate/senior	375	WI22	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with no need, but travel expense	20	 in Rigby	33	42
			500	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	20	31	Married with child working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	44	8
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid			working 24 	8	19	Single working 24 hrs/wk unpaid in Rexburg 	24	#VALUE!	32	#VALUE!
			184	WI22	Need	Rexburg											Eastern Idaho	Paid		Yes	working 24 	9	20	Married working 24 hrs/wk upaid in Rexburg	24	#VALUE!	32	#VALUE!
			750	WI22	Need												Outside	Unpaid			working 24 	8	19	Single working 24 hrs/wk-wk unpaid in Orem UT with travel expense	24	 in Orem UT	35	46
			500	WI22	Need			Idaho Falls									Eastern Idaho	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	44	59
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Idaho Falls  with no need, but travel expense 	20	 in Idaho Falls 	31	47
			1,000.00	WI22	Need							Ammon					Eastern Idaho	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid in Ammon with travel expense	20	#VALUE!	56	8
			250	WI22	Need												Outside	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid remote 	25	#VALUE!	#VALUE!	#VALUE!
			750	WI22	Need												Outside	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid remote 	20	#VALUE!	#VALUE!	8
			184	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg 	40	#VALUE!	44	#VALUE!
			184	WI22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote 	40	#VALUE!	#VALUE!	#VALUE!
			1,000.00	WI22	Need												Outside	Unpaid		Yes	working 20 	23	34	Married with children working 20 hrs/wk unpaid remote	20	#VALUE!	#VALUE!	8
			250	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 22 	9	20	Married working 22 hrs/wk unpaid in Rexburg 	22	#VALUE!	33	#VALUE!
			250	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in Rexburg 	20	#VALUE!	44	#VALUE!
			750	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Rexburg with travel expense	20	 in Rexburg	45	56
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in Idaho Falls no need with travel expense	20	 in Idaho Falls no need	31	54
			1,000.00	WI22	Need												Outside	Paid	Yes		working 30 	22	33	Single international working 30 hrs/wk paid in OR with travel expense	30	 in OR	44	50
			1,500.00	WI22	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in TX 	40	#VALUE!	46	#VALUE!
			250	WI22	No Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Rexburg with no need 	20	 in Rexburg	45	56
			250	WI22	No Need												Outside	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid remote with no need	20	#VALUE!	#VALUE!	39
			500	WI22	No Need												Outside	Paid		Yes	working 20 	9	20	Married working 20 hrs/wk paid in IL with no need, but travel expense	20	 in IL	31	37
			250	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg 	40	#VALUE!	44	#VALUE!
			1,000.00	WI22	Need												Outside	Paid		Yes	working 46 	9	20	Married working 46 hrs/wk paid in TX with travel expense	46	 in TX	31	37
			750	WI22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel expense	40	 in UT	44	50
			750	WI22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel expense	40	 in UT	44	50
			375	WI22	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Rigby with no need, but travel expense	25	 in Rigby	33	42
			250	WI22	No Need			Idaho Falls									Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	44	59
			375	WI22	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with no need, but travel expense	20	 in Rigby	33	42
			1,000.00	WI22	Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in UT with travel expense	40	 in UT	32	38
			1,250.00	WI22	Need												Outside	Unpaid	Yes	Yes	working 21 	34	45	Married with child international working 21 hrs/wk unpaid in UT with travel expense	21	#VALUE!	58	8
			750	WI22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with travel from ST. Anthony	20	 in Rexburg	33	44
			1,250.00	WI22	Need												Outside	Paid	Yes	Yes	working 30 	37	48	Married with children international working 30 hrs/wk paid in UT with travel expense	30	#VALUE!	59	8
			625	WI22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in CO with no need, but travel expense	40	 in CO	30	36
			184	WI22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 35 	9	20	Married working 35 hrs/wk paid in Rexburg with no need	35	 in Rexburg	31	42
			250	WI22	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Rexburg 	20	#VALUE!	45	#VALUE!
			375	WI22	No Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 24 	23	34	Married international working 24 hrs/wk unpaid in Rexburg with no need	24	 in Rexburg	47	58
			1,250.00	WI22	Need												Outside	Paid			working 45 	8	19	Single working 45 hrs/wk paid in DC with travel expense	45	 in DC	30	36
			1,000.00	WI22	Need												Outside	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in Poacatello with travel expense	20	#VALUE!	59	8
